Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Originalauflösungen
01012023;00:00;00:15;9720,75
01012023;00:15;00:30;9641,25
01012023;00:30;00:45;9609,5
01012023;00:45;01:00;9565
01012023;01:00;01:15;9473,5
01012023;01:15;01:30;9448
01012023;01:30;01:45;9550,25
01012023;01:45;02:00;9463,75
01012023;02:00;02:15;9358,5
01012023;02:15;02:30;9306
01012023;02:30;02:45;9250,75
01012023;02:45;03:00;9188
01012023;03:00;03:15;9140,5
01012023;03:15;03:30;9012,25
01012023;03:30;03:45;8989,25
01012023;03:45;04:00;8997,5
01012023;04:00;04:15;8962,75
01012023;04:15;04:30;8911,25
01012023;04:30;04:45;8906
01012023;04:45;05:00;8931,5
01012023;05:00;05:15;8970
01012023;05:15;05:30;8969
01012023;05:30;05:45;8979
01012023;05:45;06:00;8936,25
01012023;06:00;06:15;8841,25
01012023;06:15;06:30;8887,75
01012023;06:30;06:45;8828,75
01012023;06:45;07:00;8840
01012023;07:00;07:15;9002
01012023;07:15;07:30;9054,25
01012023;07:30;07:45;9112
01012023;07:45;08:00;9168,25
01012023;08:00;08:15;9100,5
01012023;08:15;08:30;9171,5
01012023;08:30;08:45;9303,25
01012023;08:45;09:00;9410,5
01012023;09:00;09:15;9560,75
01012023;09:15;09:30;9786,5
01012023;09:30;09:45;9954,75
01012023;09:45;10:00;10087,75
01012023;10:00;10:15;10021,25
01012023;10:15;10:30;10188,25
01012023;10:30;10:45;10399,25
01012023;10:45;11:00;10562
01012023;11:00;11:15;10692
01012023;11:15;11:30;10946,5
01012023;11:30;11:45;11093,5
01012023;11:45;12:00;11117
01012023;12:00;12:15;11120,5
01012023;12:15;12:30;11145
01012023;12:30;12:45;11080,75
01012023;12:45;13:00;10985,5
01012023;13:00;13:15;11018,5
01012023;13:15;13:30;10962,75
01012023;13:30;13:45;10916,25
01012023;13:45;14:00;10849,75
01012023;14:00;14:15;10844
01012023;14:15;14:30;10828,25
01012023;14:30;14:45;10884,5
01012023;14:45;15:00;10840,25
01012023;15:00;15:15;10952,25
01012023;15:15;15:30;10892,75
01012023;15:30;15:45;10950,75
01012023;15:45;16:00;10972,5
01012023;16:00;16:15;11156
01012023;16:15;16:30;11306,5
01012023;16:30;16:45;11486,5
01012023;16:45;17:00;11726,5
01012023;17:00;17:15;12041,25
01012023;17:15;17:30;12143,25
01012023;17:30;17:45;12245,75
01012023;17:45;18:00;12270,25
01012023;18:00;18:15;12273,5
01012023;18:15;18:30;12226,5
01012023;18:30;18:45;12148
01012023;18:45;19:00;12039,25
01012023;19:00;19:15;12023
01012023;19:15;19:30;11925,25
01012023;19:30;19:45;11812
01012023;19:45;20:00;11631
01012023;20:00;20:15;11500,75
01012023;20:15;20:30;11319,75
01012023;20:30;20:45;11122,25
01012023;20:45;21:00;10934,75
01012023;21:00;21:15;10929,5
01012023;21:15;21:30;10832,75
01012023;21:30;21:45;10759
01012023;21:45;22:00;10714,5
01012023;22:00;22:15;10814,75
01012023;22:15;22:30;10692,25
01012023;22:30;22:45;10531,5
01012023;22:45;23:00;10306,5
01012023;23:00;23:15;10126,5
01012023;23:15;23:30;9862,75
01012023;23:30;23:45;9667,25
01012023;23:45;00:00;9504,5
